학교,코드 번호,제목,Name,Strategic field,Keywords
University of Toronto,UT-038,PQC Hardware Security Module (HSM) Solution with SoC-Based Optimized Post-Quantum Cryptography,Seokbum Ko,"Cybersecurity, Quantum","Information and Communication, Electrical and Electronic Engineering, Cybersecurity, General Security, Semiconductor, Components and, Systems, SoC"
University of Toronto,UT-039,AI‑Driven Smart Insole for Advanced Gait Analysis and Clinical Rehabilitation Applications,Seokbum Ko,Advanced Bio,"Bio/Medical, Bio/Medical, Therapeutic Devices &, Diagnostic Devices, Bio-signal Measurement /, Diagnostic Devices, Therapeutic Devices &, Diagnostic Devices, Intelligent Interpretation, Systems"
University of Toronto,UT-040,Universal Physics-Informed Neural Network Platform for Multiphysics Simulation and Digital Twin Applications,Salman Lari,AI,"Information & Communication, Information & Communication, Software, Software Solutions, Software, Internet SW"
University of Toronto,UT-041,Development of an Edge-AI-Enabled Intelligent Skin Therapy System Integrating Ultrasound Imaging and Selective HIFUFlexible Plasma Treatment,Moslem Sadeghi Goughari,Advanced Bio,"Bio-Medical, Bio-Medical, Therapeutic Devices &, Diagnostic Devices, Other Therapeutic and, Diagnostic Devices, Therapeutic Devices &, Diagnostic Devices, Intelligent Interpretation, Systems"
University of Toronto,UT-042,"AI-Driven Digital Arc Plasma System for Chemical-Free, Atmospheric Decontamination of Radioactive Waste",Kamyar Ghavam,"Semiconductor/Display, Next-gen Nuclear Power","Energy & Resources, MechanicalㆍMaterials, Nuclear Powe, Radioactive Waste, Management, Robotics / Automation, Machinery, Robot Control and, Intelligence Technologies"
University of Toronto,UT-043,Inspection-Grade Digital Twin Technology for Aerospace and Marine Assets Using Rapid 3D Reconstruction,Eunsik Kim,Aerospace/Marine,"e.g. Machinery and materials, Knowledge Services, Information & Communication, e.g. Precision manufacturing, machinery, Human Resource, Competency, Development Services, e.g. Cutting/processing, machinery, Human–System, Interaction Technologies, Digital Content, Virtual Reality"
University of Toronto,UT-044,Physiologically Intelligent AR Glasses for Operator Safety and Workload Management in Aerospace and Marine Manufacturing,Eunsik Kim,Aerospace/Marine,"e.g. Machinery and materials, Knowledge Services, Information & Communication, e.g. Precision manufacturing, machinery, Human Resource, Competency, Development Services, e.g. Cutting/processing, machinery, Human–System, Interaction, Technologies, Digital Content, Virtual Reality"
University of Toronto,UT-045,Development of an AI-Based System for Continuous Monitoring and Prediction of Leakage Rate Variations in Small Modular Reactor (SMR) Containment Structures Using Distributed Fiber Op,Oh-Sung K won,AI,Energy & Resources Energy & Resources Nuclear Power Nuclear Plant Safety Assessment Technologies Nuclear Power Nuclear Site and Environmental
University of Toronto,UT-046,An AI-Based Digital Twin Framework for Energy Optimization in Energy-Intensive Manufacturing Processes and Facilities,Seungjae Lee,"AI, Advanced Robotics & Manufacturing","Knowledge Services, Information & Communication, R&D /, Engineering Services, Production Process Modeling, / Simulation, Software, Software Solutions"
University of Toronto,UT-047,Development of OpenUSD-based Automated Digital Twin Construction and AI-driven Intelligent Operational Optimization for Buildings,Seungjae Lee,"AI, Advanced Robotics & Manufacturing","Information & Communication, Knowledge Services, Software, Software Solutions, R&D /, Engineering Services, Design Information, Integration Management /, Collaboration System, Performance, Enhancement Technologies"
University of Toronto,UT-048,"A technology that enables hyper-performing cellulose nano-structured architecture for lighter, greener and safer mobility vehicle and building construction sectors",e Mohini M Sain,Advanced Bio,Materials and manufacturing Advanced biocomposites Energy efficient below freezing shear dispersion technology In-situ frictional heat dried cellulose nanofibrils composite Functional composites Flame retardant and anti-dripping functions
University of Toronto,UT-049,Multiscale Additive Manufacturing Platform for Nano-Architected Materials Design and Scale-Up,Prof. Tobin Filleter,"Semiconductor/Display, Aerospace/Marine, AI, Advanced Robotics & Manufacturing, Quantum","Mechanical / Materials, Electrical / Electronics, Nano/Micro Mechanical, Systems, System Integration, Technologies, Semiconductor Devices and, Systems, MEMS Element"
University of Toronto,UT-050,Mineralized Collagen Fibril-Based Biomaterial Platform for In Vitro 3D Bone Microenvironment Modeling,Kenneth Kimmins,Advanced Bio,"Bio & Medical, Bio & Medical, Medical Bio, Bio - Biomaterials, Industrial Biotechnology, Functional Biomaterials"
University of Toronto,UT-051,Adaptive Vision-Language Models for Camera-Based Industrial Safety Monitoring and Safety-Aware Mobile Robot Task Planning in Dynamic Environments,Eldan Cohen,"AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Knowledge Services, Robotics/ Automation, Machinery, Robot Control and, Intelligence Technologies, R&D / Engineering Services, Other R&D / Engineering-, Related Technologies"
University of Toronto,UT-052,Large-Scale Learning and Optimization Algorithms for Fleet-Level Coordination of Mobile Robots in Dynamic Manufacturing Environments,Eldan Cohen,"AI, Advanced Robotics & Manufacturing","MechanicalㆍMaterials, Knowledge Services, Robot Control and, Intelligence Technologies, Other Robotics/Automation, Machinery Technologies, R&D / Engineering Services, Other R&D / Engineering-, Related Technologies"
University of Toronto,UT-053,Tacit-to-Embodied AI A Non-Intrusive Multimodal Human-Data Archiving Platform for Training Physical AI to Perform Construction Trade Tasks,Daeho Kim,AI,"MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies, Robotics/Automation, Machinery, Measurement/Sensor, Technologies for, Automation"
University of Toronto,UT-054,Autonomous Robotics with Multimodal Perception and Risk-Aware Decision-Making for Construction Work Zones,Daeho Kim,Advanced Robotics & Manufacturing,"MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/Automation, Machinery, Robot Control and, Intelligence Technologies, Robotics/Automation, Machinery, Measurement/Sensor, Technologies for, Automation"
